[Fri Aug 14 10:47:38.845552 2015] [:error] [pid 3892] [client 127.0.0.1:55234] PHP Warning:  include_once(/home/greg/poo/www/vendor/autoload.php): failed to open stream: No such file or directory in /home/greg/poo/www/mini_jeux.php on line 2
[Fri Aug 14 10:47:38.845624 2015] [:error] [pid 3892] [client 127.0.0.1:55234] PHP Warning:  include_once(): Failed opening '/home/greg/poo/www/vendor/autoload.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/greg/poo/www/mini_jeux.php on line 2
[Fri Aug 14 10:47:38.845864 2015] [:error] [pid 3892] [client 127.0.0.1:55234] PHP Fatal error:  Class 'Greg\\PersonnageManager' not found in /home/greg/poo/www/mini_jeux.php on line 8
[Fri Aug 14 10:49:02.288302 2015] [:error] [pid 3891] [client 127.0.0.1:55244] PHP Notice:  Undefined variable: _SESSION in /home/greg/poo/www/mini_jeux.php on line 9, referer: http://127.0.2.1/mini_jeux.php?frapper=1
[Fri Aug 14 10:49:06.567380 2015] [:error] [pid 3891] [client 127.0.0.1:55244] PHP Notice:  Undefined variable: _SESSION in /home/greg/poo/www/mini_jeux.php on line 9, referer: http://127.0.2.1/mini_jeux.php?deconnexion=1
[Fri Aug 14 10:49:13.555754 2015] [:error] [pid 4617] [client 127.0.0.1:55245] PHP Notice:  Undefined variable: _SESSION in /home/greg/poo/www/mini_jeux.php on line 9, referer: http://127.0.2.1/mini_jeux.php?deconnexion=1
[Fri Aug 14 11:41:45.979976 2015] [:error] [pid 3891] [client 127.0.0.1:55650] PHP Parse error:  syntax error, unexpected '=', expecting ')' in /home/greg/poo/www/mini_jeux.php on line 151, referer: http://127.0.2.1/mini_jeux.php?frapper=3
[Fri Aug 14 11:42:02.937805 2015] [:error] [pid 3895] [client 127.0.0.1:55651] PHP Parse error:  syntax error, unexpected '=', expecting ')' in /home/greg/poo/www/mini_jeux.php on line 151
[Fri Aug 14 11:42:38.010565 2015] [:error] [pid 4616] [client 127.0.0.1:55655] PHP Fatal error:  Class 'Greg\\Magicien' not found in /home/greg/poo/www/mini_jeux.php on line 151
[Fri Aug 14 11:43:00.796142 2015] [:error] [pid 3894] [client 127.0.0.1:55656] PHP Fatal error:  Class 'Greg\\Magicien' not found in /home/greg/poo/www/mini_jeux.php on line 151
[Fri Aug 14 11:43:04.545972 2015] [:error] [pid 3893] [client 127.0.0.1:55657] PHP Fatal error:  Class 'Greg\\Magicien' not found in /home/greg/poo/www/mini_jeux.php on line 151
[Fri Aug 14 11:43:59.274856 2015] [:error] [pid 3892] [client 127.0.0.1:55664] PHP Fatal error:  Class 'Greg\\Magicien' not found in /home/greg/poo/www/mini_jeux.php on line 143
[Fri Aug 14 11:54:17.638629 2015] [:error] [pid 4616] [client 127.0.0.1:55807] PHP Notice:  Use of undefined constant name - assumed 'name' in /home/greg/poo/www/mini_jeux.php on line 143
